type,name,time_units,begin_time,frequency,count,units
signal_4d,"Noraxon MyoMotion-Segments-Upper arm RT-Orientation","s",0.0000,200,5092,""

time,x,y,z,w
18.8850,0.6737110946,-0.04843860291,-0.138891997,0.7242072051
18.8900,0.6738285353,-0.0487433142,-0.1390433977,0.7240484292
18.8950,0.6739513394,-0.0490584559,-0.1391987109,0.723882987
18.9000,0.6740779784,-0.04938501208,-0.1393587293,0.7237120589
18.9050,0.6742081068,-0.04972110574,-0.1395206259,0.7235366165
18.9100,0.6743397798,-0.05006887933,-0.1396864063,0.7233579173
18.9150,0.6744733854,-0.05042672683,-0.1398548796,0.7231759193
18.9200,0.6746082314,-0.05079342052,-0.140024735,0.7229915879
18.9250,0.6747435036,-0.05116929048,-0.1401959321,0.7228056507
18.9300,0.6748783845,-0.05155063222,-0.1403672937,0.7226193474
18.9350,0.6750135124,-0.05193810845,-0.1405370778,0.7224323641
18.9400,0.6751475616,-0.05232869583,-0.1407077542,0.7222456684
18.9450,0.6752814071,-0.05272289558,-0.1408778603,0.722058686
18.9500,0.6754147148,-0.05312027101,-0.1410481345,0.7218716116
18.9550,0.6755465773,-0.05351772787,-0.1412191345,0.7216854098
18.9600,0.6756778654,-0.05391346292,-0.1413904011,0.7214994907
18.9650,0.6758089801,-0.05430722393,-0.1415620217,0.7213134838
18.9700,0.6759395392,-0.05469790984,-0.1417325345,0.7211281209
18.9750,0.6760682684,-0.05508258789,-0.14190303,0.720944613
18.9800,0.6761954226,-0.05546178685,-0.1420712788,0.720763132
18.9850,0.6763216866,-0.05583383549,-0.1422382025,0.720582995
18.9900,0.6764476502,-0.05619836255,-0.1424018812,0.7204040705
18.9950,0.6765722898,-0.05655243173,-0.1425643696,0.7202271584
19.0000,0.6766965113,-0.05689669274,-0.1427259424,0.7200513199
19.0050,0.6768209837,-0.05723027121,-0.1428863056,0.7198760697
19.0100,0.6769457166,-0.05755255497,-0.143044937,0.7197015675
19.0150,0.6770730325,-0.05786204846,-0.1432043031,0.7195252737
19.0200,0.6772016436,-0.05815900191,-0.1433630111,0.7193486717
19.0250,0.6773325141,-0.05844312341,-0.1435216412,0.719170776
19.0300,0.6774658208,-0.05871189465,-0.1436792823,0.7189918212
19.0350,0.6776007362,-0.05896725255,-0.1438392054,0.7188117892
19.0400,0.6777364364,-0.05921001125,-0.1439985412,0.7186319764
19.0450,0.6778738123,-0.05943772384,-0.1441566669,0.7184518821
19.0500,0.6780111839,-0.0596519711,-0.1443142204,0.7182728469
19.0550,0.6781490182,-0.05985216651,-0.1444708224,0.7180945681
19.0600,0.6782880841,-0.06003685739,-0.1446262667,0.7179164949
19.0650,0.6784276959,-0.06020757758,-0.1447798563,0.7177392996
19.0700,0.6785679648,-0.06036304936,-0.1449339753,0.7175625145
19.0750,0.6787103884,-0.06050349599,-0.1450881755,0.717384804
19.0800,0.6788548448,-0.06062847642,-0.1452423046,0.7172063583
19.0850,0.6790018119,-0.06073778641,-0.1453953423,0.7170269557
19.0900,0.6791525714,-0.0608323258,-0.1455502987,0.7168446996
19.0950,0.6793058502,-0.06091211693,-0.1457069016,0.7166608506
19.1000,0.6794629403,-0.06097830536,-0.1458648558,0.7164741467
19.1050,0.6796239675,-0.06103237677,-0.1460240441,0.7162843641
19.1100,0.6797889584,-0.0610748876,-0.146183078,0.7160917105
19.1150,0.6799587505,-0.06110821185,-0.1463404353,0.7158954959
19.1200,0.6801327288,-0.06113179685,-0.1464944701,0.715696685
19.1250,0.680311338,-0.06114805614,-0.1466422785,0.7154952416
19.1300,0.6804944849,-0.06115722554,-0.1467832253,0.7152913634
19.1350,0.6806817457,-0.06116180987,-0.1469195735,0.7150847733
19.1400,0.6808738319,-0.06116288238,-0.1470472641,0.7148755339
19.1450,0.6810698472,-0.06116079078,-0.1471686486,0.7146639838
19.1500,0.6812700733,-0.06115596858,-0.1472826085,0.7144500458
19.1550,0.681474042,-0.06114918392,-0.1473904496,0.7142338292
19.1600,0.6816821241,-0.06114073391,-0.1474897697,0.7140154481
19.1650,0.6818944079,-0.06113299166,-0.1475818789,0.7137943421
19.1700,0.6821096627,-0.0611271853,-0.1476682401,0.7135712761
19.1750,0.682327268,-0.06112289498,-0.1477478425,0.7133470867
19.1800,0.6825475994,-0.06112130695,-0.1478211178,0.7131212221
19.1850,0.682769056,-0.06112139573,-0.147890444,0.7128948083
19.1900,0.6829909119,-0.0611258978,-0.1479545014,0.7126685796
19.1950,0.6832126273,-0.06113366252,-0.1480145714,0.7124428874
19.2000,0.6834338273,-0.06114492123,-0.1480697641,0.7122182582
19.2050,0.6836536823,-0.06116123884,-0.1481228547,0.7119947791
