ch1,angle
0.107875269,0.632434753
0.47069973,0.623443137
1.489927371,0.614380142
2.497223428,0.604841397
2.912269718,0.595019774
2.287333471,0.585059289
0.844060869,0.574751626
0.744851718,0.564236901
1.996052286,0.553739055
2.6470138,0.543030086
2.466840421,0.532197172
1.644227528,0.521234175
0.610687595,0.509917973
0.383207292,0.498620022
1.092744959,0.487272307
1.351511038,0.47588604
1.118511171,0.464374954
0.515927533,0.452799333
0.150019381,0.441285212
0.233489762,0.430026041
0.56768092,0.418875571
1.043227087,0.407818628
0.818550794,0.397158764
0.354873061,0.386893424
0.212821907,0.377024211
1.007584761,0.367597274
1.696399735,0.358461829
1.909717446,0.349659636
1.644662486,0.341501658
1.095132698,0.33384034
0.362060523,0.326771245
0.376582068,0.320128024
0.979257473,0.314104615
1.314672397,0.308574357
1.393611495,0.303577246
1.242905932,0.299231026
0.850518509,0.295419742
0.41296865,0.292154564
0.167830996,0.289638096
0.164303173,0.287867767
0.07276529,0.286649802
0.278762585,0.286118407
0.495230036,0.286096308
0.60404487,0.286577582
0.671168272,0.287738865
0.759467439,0.289080701
0.700014649,0.290983188
0.506738092,0.293226144
0.337721995,0.295693495
0.172082687,0.298335751
0.04810545,0.301179949
0.188496665,0.304197697
0.34608732,0.307285294
0.519902196,0.310248388
0.669697616,0.313271033
0.73919795,0.31624894
0.6972168,0.319063468
0.569227841,0.321671302
0.29868713,0.324468962
0.143657962,0.327281996
0.429392168,0.330148949
0.520946258,0.333184918
0.513207074,0.336293544
0.495489497,0.339783927
0.448495455,0.343433848
0.317562482,0.347327976
0.204890213,0.351532732
0.15830848,0.355972457
0.097290681,0.360519624
0.032447193,0.365475156
0.15988011,0.370721621
0.320632333,0.376038445
0.381844732,0.381878199
0.398063904,0.387814245
0.325502428,0.393954063
0.220439056,0.400037246
0.386480644,0.406472635
0.585598305,0.413053079
0.521944149,0.419785026
0.164474371,0.426441616
0.365068881,0.433014601
0.811112072,0.439746054
1.067463028,0.446391322
1.089702132,0.453277206
0.86228822,0.460272227
0.523727317,0.467324177
0.199217415,0.474597403
0.140943811,0.482173356
0.757012896,0.490005265
2.207646632,0.497802695
2.854698486,0.505752628
2.128422327,0.513822335
0.570913962,0.521871456
1.349353668,0.529719699
2.486656074,0.537406983
2.836353659,0.544916118
2.411758316,0.552225464
1.326542238,0.559345931
0.308677106,0.566079598
1.064508555,0.572344975
1.802016805,0.57828132
2.005459725,0.583861593
1.609797103,0.589072014
0.873713048,0.594095015
0.240307597,0.598700178
0.307241667,0.60324872
0.468687258,0.607405095
0.216631919,0.61118917
0.594713142,0.614837792
0.30784376,0.618089085
0.468077598,0.621094124
1.339271028,0.623646965
1.88311345,0.625965672
1.917857295,0.628036665
1.469151136,0.629536718
0.701438538,0.630755554
0.272986099,0.631761271
1.048169655,0.632468612
1.632177327,0.632922228
1.8592842,0.633325243
1.739647764,0.633605207
1.232934458,0.633960522
0.352057488,0.634195993
0.616485324,0.634561303
0.959717395,0.635159427
0.362125456,0.636161322
0.672579656,0.637648458
1.243267414,0.639826083
0.788014629,0.642615253
0.483115651,0.645970908
1.701410013,0.650038135
2.569677028,0.655149158
2.718673554,0.660820456
2.082071525,0.667377771
0.918183957,0.674700929
0.463735044,0.682782396
