ch1,ch2,ch3,angle
1.092744959,2.58563562,3.093677902,0.487272307
1.351511038,3.723339079,1.075969678,0.47588604
1.118511171,3.785847827,1.043189756,0.464374954
0.515927533,1.383602443,2.542852915,0.452799333
0.150019381,1.379216979,2.964514879,0.441285212
0.233489762,3.093880648,2.63700055,0.430026041
0.56768092,1.938217361,1.946697427,0.418875571
1.043227087,0.30852699,1.076074548,0.407818628
0.818550794,0.249235684,0.243792887,0.397158764
0.354873061,0.400275184,0.598557971,0.386893424
0.212821907,1.133354089,0.959190814,0.377024211
1.007584761,0.382933833,0.46316094,0.367597274
1.696399735,0.419863503,1.774475983,0.358461829
1.909717446,0.287380471,2.259955973,0.349659636
1.644662486,0.579016166,1.053802037,0.341501658
1.095132698,0.513899117,1.150861922,0.33384034
0.362060523,0.546416835,3.352783679,0.326771245
0.376582068,0.92488235,5.044289641,0.320128024
0.979257473,0.528611328,5.580086103,0.314104615
1.314672397,0.742088949,4.719139238,0.308574357
1.393611495,0.796378752,2.58761419,0.303577246
1.242905932,0.396413324,0.707487615,0.299231026
0.850518509,2.451104272,2.895023548,0.295419742
0.41296865,4.587608457,4.950110558,0.292154564
0.167830996,4.469113563,5.555060279,0.289638096
0.164303173,1.858434962,4.991658657,0.287867767
0.07276529,1.029322467,4.098639704,0.286649802
0.278762585,3.012587052,2.896193464,0.286118407
0.495230036,5.291219769,1.118670693,0.286096308
0.60404487,5.77855582,0.645359087,0.286577582
0.671168272,3.647870358,1.774787378,0.287738865
0.759467439,1.849430378,2.458422044,0.289080701
0.700014649,6.480157368,2.688986234,0.290983188
0.506738092,8.330450178,2.258266817,0.293226144
0.337721995,6.475405358,1.614707836,0.295693495
0.172082687,2.131712373,1.139661969,0.298335751
0.04810545,3.495051146,0.887998879,0.301179949
0.188496665,7.588672608,1.040782962,0.304197697
0.34608732,8.47600149,1.458251783,0.307285294
0.519902196,7.073715928,1.679753159,0.310248388
0.669697616,3.716387636,1.484851826,0.313271033
0.73919795,0.820542493,0.800899179,0.31624894
0.6972168,2.36671811,0.433298322,0.319063468
0.569227841,2.577881185,1.759170812,0.321671302
0.29868713,2.299840989,3.007927908,0.324468962
0.143657962,3.866410333,3.461072158,0.327281996
0.429392168,5.526572007,2.919667958,0.330148949
0.520946258,5.982292944,1.829230962,0.333184918
0.513207074,5.478851466,0.781441503,0.336293544
