ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,joint_angle
0.016014872,0.013719067,0.037557729,0.005298075,0.031011332,0.022476231,3.46E-05,0.000990707,0.000527502,0,0,0,0,0,0,0.313271033
0.017695038,0.003019714,0.019946226,0.000866603,0.021641113,0.050594254,1.02E-06,0.000466467,0.002567356,0.25,0,0,0,0.5,0,0.31624894
0.016680146,0.008732409,0.010480654,0.003830818,0.006442953,0.071868226,2.00E-05,4.56E-05,0.005149777,0,0,0,0,0,0.5,0.319063468
0.013586022,0.009512598,0.044621331,0.008360265,0.000956606,0.075731786,7.90E-05,8.06E-07,0.005755656,0,0.666666667,0,0,0,0,0.321671302
0.00704572,0.008485316,0.076776319,0.017428798,0.004774341,0.052585384,0.000313772,8.05E-06,0.002847759,0,0.333333333,0,0,0,0,0.324468962
0.003297901,0.01427336,0.088444599,0.019610147,0.016997088,0.01317063,0.000404162,0.000313025,8.63E-05,0,0,0.333333333,0.5,0,0,0.327281996
0.010205505,0.020407202,0.074503661,0.008144011,0.006199368,0.049316581,7.53E-05,4.29E-05,0.002487798,0,0,0,0,0,0,0.330148949
0.012418819,0.022090966,0.046425352,0.001130919,0.000995401,0.062529817,2.43E-06,1.16E-06,0.003947561,0.25,0.333333333,0,0,0,0,0.333184918
0.012231724,0.020230887,0.019445199,0.000585983,0.009836836,0.046728419,1.22E-06,0.000101666,0.002216342,0,0,0,0,0,0,0.336293544
0.011803403,0.010069705,0.003342363,0.00052056,0.028878822,0.031738084,9.71E-07,0.000845767,0.001022864,0,0,0,0,0,0.5,0.339783927
0.010667326,0.007856264,0.011311575,0.003294295,0.035504167,0.026811987,1.36E-05,0.001264157,0.000737375,0,0,0,0,0.5,0,0.343433848
0.00750203,0.023239554,0.022178107,0.006711418,0.020595377,0.015323054,5.25E-05,0.000424859,0.00026014,0,0,0,0,0,0,0.347327976
0.004778186,0.028456954,0.023569122,0.002801428,0.007309662,0.008483936,1.19E-05,2.29E-05,8.74E-05,0,0.333333333,0,0,0,0,0.351532732
0.003652076,0.019910574,0.018178274,0.001864135,0.027108602,0.009826203,5.92E-06,0.00075331,0.000102315,0,0,0,0,0,0,0.355972457
0.002176975,0.004962638,0.015122893,0.002846124,0.026006805,0.003065018,1.08E-05,0.00069218,5.35E-06,0,0,0.333333333,0,0.5,0,0.360519624
0.000609389,0.00342137,0.01957744,0.005733756,0.004851897,0.022878414,3.98E-05,2.50E-05,0.000548841,0,0.333333333,0,0.5,0,0,0.365475156
0.00369007,0.003202815,0.03679209,0.008094624,0.003286049,0.041704459,7.44E-05,1.33E-05,0.001802202,0,0,0,0,0,0,0.370721621
0.007576244,0.002347938,0.052095939,0.005829915,0.000757083,0.018858374,4.20E-05,6.83E-07,0.000391129,0,0.333333333,0,0,0,0,0.376038445
0.009056049,0.002081832,0.052975887,3.01E-05,0.003419143,0.016741329,2.95E-08,1.43E-05,0.000313362,0.5,0.333333333,0,0,0,0,0.381878199
0.009448146,0.00128773,0.035474191,0.0008825,0.007054301,0.051855847,2.05E-06,5.24E-05,0.002751494,0.25,0,0,0,0.5,0,0.387814245
0.007693978,0.004359768,0.010136799,0.008160248,0.004332771,0.051533851,8.35E-05,2.24E-05,0.002659342,0,0,0,0,0,0.5,0.393954063
0.005154078,0.003350228,0.011007638,0.003390087,0.008860609,0.038300746,7.11E-06,8.99E-05,0.001509845,0.25,0,0,0,0,0,0.400037246
0.009168122,0.002360187,0.023431873,0.011725438,0.010739504,0.013457441,0.00015332,0.000119192,0.000198407,0,0,0,0,0.5,0,0.406472635
0.013981777,0.007921643,0.027435501,0.0046433,0.011145092,0.007255118,2.87E-05,0.000130016,5.49E-05,0.25,0,0,0,0,0,0.413053079
0.012442942,0.012605567,0.03361836,0.011078904,0.00464739,0.019141926,0.000141385,2.48E-05,0.000382662,0,0.333333333,0,0,0,0,0.419785026
0.003801136,0.012297022,0.044389529,0.023477794,0.003976998,0.021471754,0.000581845,1.85E-05,0.00047424,0,0,0,0.5,0,0,0.426441616
