ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,load
-0.068652536,0.237483071,0.537151244,0.18681262,0.215488743,0.01303546,0.022130924,-0.065155059,0.034802457,0.019487231,-0.02861281,-0.063223696,0.060891918,0.007151671,-0.002403935,5.5
-0.070687162,0.259628857,0.486458635,0.177466137,0.20936868,-0.019248208,0.061074364,-0.049729358,0.114167639,0.015970272,-0.02620242,-0.060657103,0.065978363,0.002844606,-0.004029709,5.5
-0.0560831,0.2362482,0.504460632,0.203581539,0.172844727,0.040368231,0.069990972,-0.003042942,0.081819037,0.022162438,-0.028823913,-0.065386176,0.060608001,0.009727829,-0.008779381,5.5
-0.069136474,0.236974217,0.571858669,0.249290568,0.161161686,-0.007315083,-0.017901799,-0.084367309,0.090939825,0.024190007,-0.036481866,-0.061891311,0.063089797,0.008058434,-0.00762023,5.5
-0.088352678,0.271575168,0.635265048,0.279288165,0.167719749,0.002270836,0.036421949,-0.08496845,0.13959718,0.034558423,-0.033838469,-0.06643722,0.069204643,0.011837578,-0.011298373,5.5
-0.09141153,0.28255729,0.640741113,0.278915524,0.167933898,-0.009787033,0.031346831,-0.068564836,0.133581993,0.028545719,-0.033030134,-0.073260473,0.064384612,0.01417057,-0.010029209,5.5
-0.09150661,0.285942476,0.636020416,0.255252476,0.226286969,-0.033611897,-0.001379979,-0.112772572,0.082060051,0.024666729,-0.038521285,-0.07494204,0.065588193,0.008260441,-0.006787426,5.5
-0.075597854,0.264637513,0.616402124,0.270321864,0.177399125,-0.03117304,-0.052288493,-0.060545971,0.10575643,0.013133256,-0.039641067,-0.077058902,0.066476138,0.005535584,-0.009506085,5.5
-0.040962625,0.279517342,0.58544943,0.248975069,0.177361584,0.000238109,0.098064036,-0.078429325,0.020453678,0.031857897,-0.035016014,-0.0773896,0.067525568,0.009357474,-0.008624966,5.5
-0.018419681,0.289294322,0.573402126,0.266798112,0.164880096,-0.027159222,0.078301864,-0.03661577,0.082456677,0.019042073,-0.036038471,-0.085370237,0.07238398,0.006191126,-0.010292838,5.5
0.038947094,0.265727541,0.539564899,0.266553635,0.162857302,-0.010995099,0.064353637,0.003222436,0.040130983,0.009215388,-0.045940888,-0.098130732,0.065179839,0.011130124,-0.006439619,5.5
0.090054155,0.27620599,0.543039414,0.305517524,0.132166289,-0.007977636,0.147465634,0.004227177,0.121157896,0.015367518,-0.045483646,-0.10046217,0.071579888,0.011571251,-0.011599422,5.5
0.133204327,0.249607797,0.520450263,0.298697508,0.148984024,-0.026120606,0.070075244,0.001173488,0.099449993,0.000179887,-0.049727869,-0.10216477,0.074117237,0.005382549,-0.011813297,5.5
0.131495922,0.297389537,0.537642161,0.324706501,0.125233756,0.005630986,0.204673482,0.070627967,0.095533795,0.015151097,-0.045744361,-0.114671606,0.074777121,0.012913786,-0.013123389,5.5
0.14001999,0.280734543,0.536061229,0.329632018,0.097151395,0.018335025,0.168076831,0.10185994,0.051608973,0.010461006,-0.046862494,-0.117035242,0.070711339,0.015373287,-0.010273169,5.5
0.135786621,0.302483424,0.520788883,0.335844083,0.08155092,-0.020524298,0.191943697,0.101600257,0.135792642,0.007753429,-0.042017547,-0.115072084,0.078981734,0.01053646,-0.012449481,5.5
0.151623403,0.283987626,0.540488713,0.326354739,0.098195932,0.015815314,0.167984126,0.103389459,0.051927909,0.006537102,-0.045685952,-0.119231869,0.072154882,0.016598052,-0.011259394,5.5
0.168505329,0.308916742,0.494546322,0.319369772,0.097943793,-0.022527001,0.207630659,0.122961261,0.131535213,-0.001327876,-0.041661533,-0.118339226,0.075841425,0.011452207,-0.011574741,5.5
0.202222066,0.285793375,0.418390195,0.261448902,0.16850157,0.025848587,0.224066957,0.184882667,0.054441584,-0.00735839,-0.040290995,-0.120348512,0.077735125,0.005125133,-0.012516597,5.5
0.19966647,0.341145543,0.381892681,0.253817305,0.177204294,-0.033379172,0.323121901,0.154560002,0.061706924,0.000931397,-0.040913769,-0.124513777,0.076950823,0.008069903,-0.006024483,5.5
0.237438005,0.314284096,0.355141614,0.243777274,0.16691925,-0.052358048,0.252137945,0.142657049,0.018777912,-0.01046846,-0.043079359,-0.121086538,0.083142993,0.000841579,-0.005459527,5.5
